address,date,type,lat,long
3670  ARNDT,8/7/15,Dismantle,42.35708899999999,-83.020298
3462  PULFORD,8/7/15,Dismantle,42.360523,-83.025387
13276  BLOOM,8/7/15,Dismantle,42.415054,-83.048231
13223  BUFFALO,8/7/15,Dismantle,42.414321,-83.047782
7429 W MCNICHOLS,8/7/15,Dismantle,42.3309331,-83.1349553
2992  SHERIDAN,8/7/15,Dismantle,42.362412,-83.00820499999998
8075  STOUT,8/7/15,Dismantle,42.3514027,-83.23963289999998
18227  STOUT,8/7/15,Dismantle,42.423283500000004,-83.24309389999998
8059  STOUT,8/7/15,Dismantle,42.3512011,-83.2396225
2927  BALDWIN,8/7/15,Dismantle,42.362085,-83.00635799999998
13242  BUFFALO,8/7/15,Dismantle,42.414614,-83.04723299999998
13249  BUFFALO,8/7/15,Dismantle,42.4147289,-83.04782130000002
12230  ARLINGTON,8/7/15,Dismantle,42.4056383,-83.0678145
11936  RIAD,8/7/15,Dismantle,42.423652000000004,-82.958085
9157  PHILIP,8/7/15,Dismantle,42.4067485,-82.9634928
8041  STOUT,8/7/15,Dismantle,42.3509714,-83.2396225
8083  STOUT,8/7/15,Dismantle,42.351507399999996,-83.2396225
21483  MARGARETA,8/7/15,Dismantle,42.424927000000004,-83.2547615
3058  BALDWIN,8/7/15,Dismantle,42.363909,-83.00689
